name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,major_classification,subclass_category,country,country_abrv,pop_density_km_squared,pop_density_mi_squared,1950_pop_thousands,2000_pop_thousands,2015_pop_thousands
Aachen,1,Valid,L5,21.0,Fell,1880.0,50.775,6.08333,"(50.775, 6.08333)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Barntrup,4948,Valid,LL4,17.0,Fell,1886.0,52.0,9.1,"(52.0, 9.1)",Chondrite,LL,Germany,DE,233.0,90.0,68376,82017,80673
Breitscheid,5134,Valid,H5,1500.0,Fell,1956.0,50.666940000000004,8.18361,"(50.66694, 8.18361)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Bremervörde,5135,Valid,H/L3.9,7250.0,Fell,1855.0,53.4,9.1,"(53.4, 9.1)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Darmstadt,6603,Valid,H5,100.0,Fell,1804.0,49.86667,8.65,"(49.86667, 8.65)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Eichstädt,7775,Valid,H5,3000.0,Fell,1785.0,48.9,11.21667,"(48.9, 11.21667)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Erxleben,10049,Valid,H6,2250.0,Fell,1812.0,52.21667,11.25,"(52.21667, 11.25)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Forsbach,10163,Valid,H6,240.0,Fell,1900.0,50.95,7.316669999999999,"(50.95, 7.31667)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Gütersloh,11466,Valid,H3/4,1000.0,Fell,1851.0,51.91667,8.38333,"(51.91667, 8.38333)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Hungen,11986,Valid,H6,112.0,Fell,1877.0,50.3,8.91667,"(50.3, 8.91667)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Ibbenbüren,11992,Valid,Diogenite,2000.0,Fell,1870.0,52.28333,7.7,"(52.28333, 7.7)",Achondrite,Diogenite,Germany,DE,233.0,90.0,68376,82017,80673
Kiel,12301,Valid,L6,737.6,Fell,1962.0,54.4,10.15,"(54.4, 10.15)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Klein-Wenden,12332,Valid,H6,3250.0,Fell,1843.0,51.6,10.8,"(51.6, 10.8)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Krähenberg,12353,Valid,LL5,16500.0,Fell,1869.0,49.32694,7.46472,"(49.32694, 7.46472)",Chondrite,LL,Germany,DE,233.0,90.0,68376,82017,80673
Linum,14655,Valid,L6,1862.0,Fell,1854.0,52.75,12.9,"(52.75, 12.9)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Mässing,15443,Valid,Howardite,1600.0,Fell,1803.0,48.13333,12.61667,"(48.13333, 12.61667)",Achondrite,Howardite,Germany,DE,233.0,90.0,68376,82017,80673
Menow,15485,Valid,H4,10500.0,Fell,1862.0,53.183330000000005,13.15,"(53.18333, 13.15)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Meuselbach,16626,Valid,L6,870.0,Fell,1897.0,50.58333,11.1,"(50.58333, 11.1)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Neuschwanstein,16950,Valid,EL6,6189.0,Fell,2002.0,47.525,10.80833,"(47.525, 10.80833)",Chondrite,E,Germany,DE,233.0,90.0,68376,82017,80673
Oesede,17988,Valid,H5,1400.0,Fell,1927.0,52.28333,8.05,"(52.28333, 8.05)",Chondrite,H,Germany,DE,233.0,90.0,68376,82017,80673
Oldenburg (1930),18009,Valid,L6,16570.0,Fell,1930.0,52.95,8.16667,"(52.95, 8.16667)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Ortenau,18033,Valid,Stone-uncl,4500.0,Fell,1671.0,48.5,8.0,"(48.5, 8.0)",Stony-Iron,Stone,Germany,DE,233.0,90.0,68376,82017,80673
Peckelsheim,18181,Valid,Diogenite-pm,117.8,Fell,1953.0,51.66667,9.25,"(51.66667, 9.25)",Achondrite,Diogenite,Germany,DE,233.0,90.0,68376,82017,80673
Pohlitz,18853,Valid,L5,3000.0,Fell,1819.0,50.93333,12.13333,"(50.93333, 12.13333)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
Ramsdorf,22386,Valid,L6,4682.0,Fell,1958.0,51.88333,6.933330000000001,"(51.88333, 6.93333)",Chondrite,L,Germany,DE,233.0,90.0,68376,82017,80673
