id, reclat, reclong, country, country_abrv
3754,-72.0,26.0,Antarctica,AQ
3755,-72.0,26.0,Antarctica,AQ
3756,-72.0,26.0,Antarctica,AQ
3758,-72.0,26.0,Antarctica,AQ
3760,-72.0,26.0,Antarctica,AQ
3761,-72.0,26.0,Antarctica,AQ
3762,-72.0,26.0,Antarctica,AQ
3763,-72.0,26.0,Antarctica,AQ
3764,-72.0,26.0,Antarctica,AQ
3766,-72.0,26.0,Antarctica,AQ
3767,-72.0,26.0,Antarctica,AQ
3768,-72.0,26.0,Antarctica,AQ
3770,-72.0,26.0,Antarctica,AQ
3771,-72.0,26.0,Antarctica,AQ
3772,-72.0,26.0,Antarctica,AQ
3773,-72.0,26.0,Antarctica,AQ
3774,-72.0,26.0,Antarctica,AQ
3775,-72.0,26.0,Antarctica,AQ
3776,-72.0,26.0,Antarctica,AQ
3777,-72.0,26.0,Antarctica,AQ
3778,-72.0,26.0,Antarctica,AQ
3779,-72.0,26.0,Antarctica,AQ
3780,-72.0,26.0,Antarctica,AQ
3781,-72.0,26.0,Antarctica,AQ
3782,-72.0,26.0,Antarctica,AQ
3783,-72.0,26.0,Antarctica,AQ
3784,-72.0,26.0,Antarctica,AQ
3785,-72.0,26.0,Antarctica,AQ
3786,-72.0,26.0,Antarctica,AQ
3787,-72.0,26.0,Antarctica,AQ
3788,-72.0,26.0,Antarctica,AQ
3789,-72.0,26.0,Antarctica,AQ
3790,-72.0,26.0,Antarctica,AQ
3791,-72.0,26.0,Antarctica,AQ
3792,-72.0,26.0,Antarctica,AQ
3793,-72.0,26.0,Antarctica,AQ
3794,-72.0,26.0,Antarctica,AQ
3795,-72.0,26.0,Antarctica,AQ
3796,-72.0,26.0,Antarctica,AQ
3797,-72.0,26.0,Antarctica,AQ
3798,-72.0,26.0,Antarctica,AQ
3799,-72.0,26.0,Antarctica,AQ
3800,-72.0,26.0,Antarctica,AQ
3801,-72.0,26.0,Antarctica,AQ
3802,-72.0,26.0,Antarctica,AQ
3804,-72.0,26.0,Antarctica,AQ
3805,-72.0,26.0,Antarctica,AQ
3806,-72.0,26.0,Antarctica,AQ
3807,-72.0,26.0,Antarctica,AQ
3808,-72.0,26.0,Antarctica,AQ
3809,-72.0,26.0,Antarctica,AQ
3810,-72.0,26.0,Antarctica,AQ
3812,-72.0,26.0,Antarctica,AQ
3813,-72.0,26.0,Antarctica,AQ
3814,-72.0,26.0,Antarctica,AQ
3815,-72.0,26.0,Antarctica,AQ
3816,-72.0,26.0,Antarctica,AQ
3817,-72.0,26.0,Antarctica,AQ
3818,-72.0,26.0,Antarctica,AQ
3819,-72.0,26.0,Antarctica,AQ
3821,-72.0,26.0,Antarctica,AQ
3822,-72.0,26.0,Antarctica,AQ
3823,-72.0,26.0,Antarctica,AQ
3824,-72.0,26.0,Antarctica,AQ
3825,-72.0,26.0,Antarctica,AQ
3826,-72.0,26.0,Antarctica,AQ
3827,-72.0,26.0,Antarctica,AQ
3829,-72.0,26.0,Antarctica,AQ
3830,-72.0,26.0,Antarctica,AQ
3831,-72.0,26.0,Antarctica,AQ
3832,-72.0,26.0,Antarctica,AQ
3833,-72.0,26.0,Antarctica,AQ
3834,-72.0,26.0,Antarctica,AQ
3835,-72.0,26.0,Antarctica,AQ
3836,-72.0,26.0,Antarctica,AQ
3837,-72.0,26.0,Antarctica,AQ
3838,-72.0,26.0,Antarctica,AQ
3839,-72.0,26.0,Antarctica,AQ
3840,-72.0,26.0,Antarctica,AQ
3841,-72.0,26.0,Antarctica,AQ
3842,-72.0,26.0,Antarctica,AQ
3844,-72.0,26.0,Antarctica,AQ
3845,-72.0,26.0,Antarctica,AQ
3846,-72.0,26.0,Antarctica,AQ
3848,-72.0,26.0,Antarctica,AQ
3849,-72.0,26.0,Antarctica,AQ
3850,-72.0,26.0,Antarctica,AQ
3851,-72.0,26.0,Antarctica,AQ
3852,-72.0,26.0,Antarctica,AQ
3853,-72.0,26.0,Antarctica,AQ
3854,-72.0,26.0,Antarctica,AQ
3855,-72.0,26.0,Antarctica,AQ
3856,-72.0,26.0,Antarctica,AQ
3857,-72.0,26.0,Antarctica,AQ
3859,-72.0,26.0,Antarctica,AQ
3860,-72.0,26.0,Antarctica,AQ
3862,-72.0,26.0,Antarctica,AQ
